,AFib,Normal,Other,Noise
Precision,0.5862068965517241,0.9107321965897693,0.6844181459566075,0.7192982456140351
Recall,0.7024793388429752,0.859035004730369,0.7559912854030502,0.5942028985507246
F1_score,0.6390977443609022,0.88412852969815,0.7184265010351969,0.6507936507936508
