,AFib,Normal,Other,Noise
Precision,0.6413793103448275,0.9127382146439318,0.6666666666666666,0.8070175438596491
Recall,0.7380952380952381,0.8520599250936329,0.7788018433179723,0.5897435897435898
F1_score,0.6863468634686347,0.8813559322033898,0.718384697130712,0.6814814814814815
