,AFib,Normal,Other,Noise
Precision,0.6206896551724138,0.9097291875626881,0.6785009861932939,0.7368421052631579
Recall,0.6923076923076923,0.8597156398104265,0.7543859649122807,0.6461538461538462
F1_score,0.6545454545454545,0.8840155945419104,0.7144340602284528,0.6885245901639344
