,epoch,training_loss,training_accuracy,validation_loss,validation_accuracy,last_lr
0,0,1.0110125545706088,0.5765171503957783,0.9580252386481094,0.5879249706916765,4.1158598682613265e-05
1,1,0.9382880968769356,0.610524772793902,0.8875820453672868,0.6078546307151231,4.465052337050343e-05
2,2,0.8942259596051865,0.6188800938141308,0.842244574361222,0.6400937866354045,5.045878377280596e-05
3,3,0.8617524101356019,0.6210788625036646,0.8658690934723455,0.6406799531066822,5.855507675326017e-05
4,4,0.8473808792496454,0.6300205218411024,0.8286401731467611,0.6412661195779601,6.889994979638648e-05
5,5,0.8405669899987741,0.6366168279097039,0.8039002772093099,0.6471277842907386,8.144299325608462e-05
6,6,0.8251295340477075,0.6445323951920258,0.8034215243172953,0.6465416178194607,9.612308599735479e-05
7,7,0.8294530103228303,0.6449721489299326,0.8062566317539283,0.6570926143024619,0.00011286869323415152
8,8,0.8193147632076886,0.6477572559366754,0.9808098040040744,0.5867526377491208,0.00013159821511203292
9,9,0.8112400196857447,0.6562591615362063,0.8111943872983961,0.6658851113716295,0.0001522203843369916
10,10,0.8134195104403008,0.6508355321020228,0.8452577170984686,0.6447831184056272,0.00017463471091286114
11,11,0.8038823638046917,0.6568454998534154,0.8158079575821495,0.6547479484173505,0.0001987319718201266
12,12,0.8092493377483964,0.6590442685429493,0.8279754641746441,0.6617819460726846,0.00022439474324998353
13,13,0.8022398399104473,0.6600703605980651,0.8743321022143258,0.6336459554513482,0.00025149797280011276
14,14,0.7967183007868249,0.6613896218117854,0.939505689588549,0.6324736225087925,0.0002799095888439123
15,15,0.797773519278062,0.6536206391087658,0.8388935945238066,0.6588511137162955,0.00030949114410378507
16,16,0.7977857974854008,0.6654939900322486,0.8269541600384998,0.6547479484173505,0.0003400984902924075
17,17,0.7963123120142546,0.6638815596599238,0.8519354451443358,0.6483001172332943,0.0003715824805345108
18,18,0.798384355558604,0.6571386690120199,0.7918322822832419,0.6729191090269636,0.00040378969614633566
19,19,0.7847301643358162,0.6669598358252712,0.7871154111407147,0.6676436107854631,0.00043656319423123206
20,20,0.7861768697860548,0.6650542362943418,0.8079553382757261,0.652989449003517,0.0004697432724484324
21,21,0.7936876527517291,0.6672530049838757,0.8122092161899714,0.6430246189917936,0.0005031682472283526
22,22,0.7820353332029972,0.6750219876868954,0.881435873045871,0.6336459554513482,0.000536675241642243
23,23,0.7786570610066238,0.6710642040457344,1.0283255387023353,0.6096131301289566,0.0005701009790869743
24,24,0.7804471882373069,0.6704778657285254,0.8699481348918723,0.6348182883939039,0.0006032825789173987
25,25,0.7805563791411184,0.6723834652594547,0.7770630285091444,0.6758499413833529,0.0006360583501492466
26,26,0.7865720920568335,0.672530049838757,0.8065345473194457,0.645369284876905,0.0006682685793649075
27,27,0.7887898865629591,0.6706244503078276,0.8240508089870529,0.6465416178194607,0.0006997563089827076
28,28,0.7742110615565049,0.678833186748754,0.7629751959271895,0.6787807737397421,0.0007303681020972429
29,29,0.7804719167907579,0.6716505423629434,0.8514180286827847,0.6365767878077374,0.00075995479016377
30,30,0.7818044879086309,0.6735561418938728,1.2299480393162088,0.6101992966002344,0.0007883721998832551
31,31,0.7825597545437294,0.6791263559073586,0.8092059229630518,0.6524032825322391,0.0008154818557460349
32,32,0.774101932756155,0.6772207563764292,0.7511529793912612,0.6875732708089097,0.0008411516548106577
33,33,0.7715418145510501,0.6792729404866608,0.8647941604588544,0.6395076201641267,0.0008652565104297649
34,34,0.7688695482059994,0.6776605101143359,0.9051264954899009,0.638335287221571,0.0008876789617861969
35,35,0.7733604119551633,0.6844034007622398,0.8022178178795057,0.686400937866354,0.0009083097462691066
36,36,0.7804041318409746,0.6739958956317795,0.8049950673739488,0.671746776084408,0.0009270483319009406
37,37,0.7708559359178904,0.6829375549692173,0.9060666362677481,0.597303634232122,0.000943803407220826
38,38,0.7667316121811812,0.6824978012313104,0.7677677054338131,0.664126611957796,0.0009584933262371934
39,39,0.7712453648653312,0.6854294928173557,0.8841761716784514,0.6371629542790153,0.0009710465062814336
40,40,0.7745427042464292,0.6845499853415421,1.2067100719438488,0.6184056271981243,0.0009814017768238715
41,41,0.7718936646659156,0.6807387862796834,0.8725274005361068,0.6611957796014069,0.000989508677552318
42,42,0.7682051873913052,0.6814717091761947,0.7677331823956086,0.6817116060961314,0.0009953277042606806
43,43,0.7668661636905704,0.6860158311345647,0.7692608896201828,0.6699882766705745,0.0009988305013494477
44,44,0.7486577669971677,0.6946643213133978,0.9801621601981267,0.6518171160609613,0.001
45,45,0.7608999613267311,0.6914394605687482,0.813806807310053,0.6412661195779601,0.0009997762170368871
46,46,0.7614735753890602,0.6863090002931692,1.3137969985377187,0.6248534583821805,0.000999105068463608
47,47,0.7481804361129499,0.6997947815889768,0.7805506722588891,0.6828839390386869,0.0009979871550490316
48,48,0.7521949542718561,0.6967165054236294,0.8953619577680635,0.6242672919109027,0.000996423477477066
49,49,0.7502422450190589,0.6934916446789797,0.7501912998845681,0.6787807737397421,0.0009944154354509117
50,50,0.7399409964824835,0.6997947815889768,1.1081675914359679,0.6354044548651817,0.0009919648264401376
51,51,0.7428963310433356,0.6923189680445617,1.6590814199145765,0.369284876905041,0.0009890738440717015
52,52,0.7492179413304515,0.6898270301964233,0.7441124353570927,0.67936694021102,0.0009857450761663572
53,53,0.7405632426358849,0.6961301671064204,0.7318246560247674,0.694021101992966,0.0009819815024222052
54,54,0.7392988475632087,0.6943711521547933,0.7514568959632485,0.6957796014067995,0.0009777864917474587
55,55,0.744427635675999,0.6967165054236294,0.8031614685533753,0.6670574443141852,0.0009731637992448144
56,56,0.7493657686954298,0.6895338610378188,0.7548977285448859,0.6869871043376319,0.0009681175628501272
57,57,0.7361824044346704,0.7014072119613016,0.7264072526451572,0.686400937866354,0.0009626522996283973
58,58,0.7222475628285281,0.7017003811199062,0.9574930095588756,0.6101992966002344,0.000956772901730385
59,59,0.7253066999267113,0.7018469656992085,0.7604477149101383,0.6998827667057445,0.0009504846320134736
60,60,0.7277974820283808,0.7034593960715333,0.8749424626511398,0.6635404454865181,0.000943793119330699
61,61,0.724508779563012,0.7049252418645559,0.7946648727687554,0.6817116060961314,0.0009367043534921636
62,62,0.7340104346993871,0.7022867194371152,0.8315383471190441,0.686400937866354,0.0009292246799033457
63,63,0.710714592468141,0.7151861624157139,0.7122142185639385,0.705158264947245,0.0009213607938851022
64,64,0.7189747776953016,0.7034593960715333,0.7554027944069535,0.6846424384525205,0.0009131197346804487
65,65,0.7122574944679285,0.7090296100850191,0.7238763723116267,0.6899179366940211,0.0009045088791534849
66,66,0.7131044880119246,0.707856933450601,0.7192321191219764,0.6910902696365768,0.0008955359351861013
67,67,0.7083335974477876,0.7084432717678101,0.740647189991695,0.6957796014067995,0.0008862089347783812
