,epoch,training_loss,training_accuracy,validation_loss,validation_accuracy,last_lr
0,0,0.9945610684755785,0.5838463793608912,0.9195466993981481,0.6113716295427901,4.1147988022792003e-05
1,1,0.8867993170793579,0.6226912928759895,0.8435694793324398,0.6395076201641267,4.462976163203123e-05
2,2,0.8157694634367944,0.6527411316329522,0.7681482416803644,0.686400937866354,5.0428453142785596e-05
3,3,0.7826534124177,0.6684256816182937,0.7264334627220806,0.7133645955451349,5.851580017957969e-05
4,4,0.7583685736088626,0.6744356493696864,0.7273306269438856,0.716295427901524,6.88523856363076e-05
5,5,0.7198853849386128,0.6986221049545588,0.7238812124463626,0.6899179366940211,8.138782979217013e-05
6,6,0.7131504525854524,0.6978891820580475,0.7585793787401698,0.6723329425556858,9.606103585855076e-05
7,7,0.7019426937293392,0.7043389035473469,1.1508225643481067,0.5533411488862837,0.00011280048776005427
8,8,0.6935884636086616,0.7080035180299032,0.8260817157425606,0.690504103165299,0.00013152459869834562
9,9,0.6877780458823008,0.7156259161536206,0.703223304130827,0.720398593200469,0.00015214210879991696
10,10,0.6956121446589367,0.7107886250366462,0.6692012802797074,0.7262602579132473,0.0001745525299096767
11,11,0.6696403919165171,0.7254470829668719,0.6838663380422737,0.7110199296600235,0.0001986466353624725
12,12,0.6603924495074379,0.7260334212840809,0.6770551969828946,0.7321219226260258,0.00022430699234543766
13,13,0.6748124934717624,0.7280856053943126,0.6837287747845979,0.7250879249706916,0.0002514085342564702
14,14,0.6686619981856893,0.7273526824978013,0.7450263920870085,0.6846424384525205,0.00027981917026921154
15,15,0.6632780200468414,0.7326297273526825,0.649900440943339,0.7309495896834701,0.00030940042913355273
16,16,0.6532485250397814,0.7360011726766345,0.7366567871774626,0.6975381008206331,0.00034000813407383487
17,17,0.6522839002090617,0.7327763119319848,0.6178274705289816,0.7508792497069168,0.00037149310549534063
18,18,0.6415135520044851,0.7389328642626796,0.596665497821213,0.7737397420867527,0.0004037018880741403
19,19,0.657118254185282,0.7381999413661683,0.6196069188442208,0.753810082063306,0.0004364774986865134
20,20,0.6520701695208464,0.7335092348284961,0.6376858189405059,0.7432590855803048,0.0004696601915325933
21,21,0.6471384616235035,0.7395192025798886,0.6308031031143484,0.7420867526377491,0.000503088236725083
22,22,0.6508809836579711,0.7379067722075637,0.6411365135054237,0.7579132473622509,0.0005365987085482604
23,23,0.6342701680392543,0.7455291703312812,0.9681994168727647,0.686400937866354,0.0005700282795453584
24,24,0.638924744865895,0.7398123717384931,0.9390466359966945,0.5193434935521688,0.000603214016564001
25,25,0.6200158185918322,0.7491937848138376,0.955620491071435,0.6811254396248535,0.0006359941748798283
26,26,0.6313422195235504,0.7487540310759309,0.7853646076438295,0.6465416178194607,0.0006682089865278181
27,27,0.6440336356866189,0.7384931105247728,0.6847734156415164,0.735052754982415,0.0006997014389990308
28,28,0.6153818984791457,0.7552037525652301,0.6423573897843624,0.742672919109027,0.0007303180405074777
29,29,0.6251213048882095,0.7496335385517443,0.7346894010849043,0.6828839390386869,0.0007599095680972537
30,30,0.6308027863222915,0.7439167399589564,0.7117353227745047,0.6740914419695193,0.0007883317949437233
31,31,0.6225814815316861,0.7503664614482557,1.0249885998465391,0.5832356389214537,0.0008154461933039479
32,32,0.627273519501872,0.7500732922896511,0.6800407640819393,0.7344665885111371,0.0008411206096902259
33,33,0.6191343014731641,0.7515391380826737,0.6624343705484763,0.7209847596717468,0.0008652299089760077
34,34,0.615256382883626,0.751685722661976,0.5899517610232408,0.757327080890973,0.0008876565842948556
35,35,0.6146088841547892,0.7484608619173263,0.9341902507148063,0.5896834701055099,0.0009082913297598548
36,36,0.6132414908012104,0.751685722661976,0.6874577944611329,0.7409144196951934,0.0009270335732120812
37,37,0.6235018882434132,0.7439167399589564,0.6938881135489988,0.727432590855803,0.0009437919664015513
38,38,0.6257614512766466,0.7486074464966286,0.7783703205873371,0.6852286049237983,0.0009584848302115527
39,39,0.6248929180713806,0.7537379067722075,0.5977380790017275,0.7667057444314185,0.0009710405527563629
40,40,0.6136140495984305,0.7563764291996482,0.6032257837539261,0.7620164126611958,0.0009813979384120605
41,41,0.6123747093801238,0.7578422749926708,0.7260738315643767,0.7338804220398594,0.0009895065060792796
42,42,0.6021185213259258,0.761360304895925,0.7660870620541947,0.675263774912075,0.0009953267352241976
43,43,0.6018200282021654,0.7601876282615069,0.6253915176162407,0.7485345838218054,0.00099883025849857
44,44,0.5964332417426869,0.761360304895925,0.628630534495726,0.7508792497069168,0.001
45,45,0.5990153627988356,0.761360304895925,0.6452209129842197,0.742672919109027,0.0009997762170368871
46,46,0.5966189374010852,0.7566695983582528,0.6195117940237486,0.7526377491207503,0.000999105068463608
47,47,0.5901349428216581,0.7620932277924363,0.8030638272010427,0.7104337631887456,0.0009979871550490316
48,48,0.5854497177794475,0.7651715039577837,0.8541688242662974,0.6998827667057445,0.000996423477477066
49,49,0.5881608591789865,0.7739665787159191,0.603548747713373,0.768464243845252,0.0009944154354509117
50,50,0.5952068755298862,0.7669305189094108,0.6021592963971678,0.7567409144196952,0.0009919648264401376
51,51,0.578730115335521,0.7723541483435943,0.6622584995323441,0.7033997655334114,0.0009890738440717015
52,52,0.5847376597937655,0.76883611844034,0.8026827445203506,0.6295427901524033,0.0009857450761663572
53,53,0.5757266316585826,0.7730870712401056,0.6370324001921579,0.7555685814771395,0.0009819815024222052
54,54,0.5809128343517289,0.7703019642333626,0.9124758513982801,0.5732708089097304,0.0009777864917474587
55,55,0.5835869632764004,0.767663441805922,0.6146562127058001,0.7620164126611958,0.0009731637992448144
56,56,0.5781566336930095,0.7695690413368513,0.5809131738099794,0.761430246189918,0.0009681175628501272
57,57,0.5712568351195656,0.7758721782468484,0.5765972646850773,0.7901524032825322,0.0009626522996283973
58,58,0.5612548892709804,0.776751685722662,0.5675177828857516,0.7801875732708089,0.000956772901730385
59,59,0.5737758210260335,0.7739665787159191,0.6080902414472833,0.7590855803048066,0.0009504846320134736
60,60,0.5549506658037818,0.7811492231017297,0.5723968144737682,0.7708089097303634,0.000943793119330699
61,61,0.5607013570811524,0.7774846086191732,0.5814401288664215,0.7749120750293084,0.0009367043534921636
