,epoch,training_loss,training_accuracy,validation_loss,validation_accuracy,last_lr
0,0,1.0246012081012317,0.5815010260920551,0.994025998979213,0.5949589683470106,0.0004114798802279194
1,1,0.9484340538380258,0.6031955438287893,0.9402596465588176,0.6172332942555686,0.0004462976163203125
2,2,0.9085413628713507,0.6193198475520375,0.8628619638165723,0.6465416178194607,0.0005042845314278555
3,3,0.8479525202776602,0.6483435942538844,0.851255277396646,0.6518171160609613,0.000585158001795795
4,4,0.8134522034044805,0.6545001465845793,0.9576013616492572,0.6271981242672919,0.0006885238563630759
5,5,0.769262775861773,0.6748754031075931,0.791214736586858,0.6611957796014069,0.0008138782979217
6,6,0.7448092258525223,0.6826443858106127,0.713024500246484,0.6899179366940211,0.0009606103585855074
7,7,0.7465464018090874,0.6866021694517737,0.8859447603488444,0.6225087924970691,0.0011280048776005427
8,8,0.702529931655555,0.7031662269129287,0.6640845782452144,0.7180539273153576,0.0013152459869834546
9,9,0.7244943456893022,0.6986221049545588,0.6843452406097269,0.7092614302461899,0.001521421087999169
10,10,0.7018955276355615,0.7036059806508356,0.7630722176148212,0.6699882766705745,0.001745525299096766
11,11,0.6837957858235492,0.7214892993257109,0.7357466668764004,0.6969519343493552,0.0019864663536247242
12,12,0.6779452304237576,0.7165054236294341,0.734085251270397,0.7080890973036342,0.0022430699234543758
13,13,0.6646584854102212,0.7288185282908238,1.0729581506842047,0.5175849941383353,0.0025140853425647015
14,14,0.6638487951561909,0.7305775432424509,0.6814954013925085,0.7174677608440797,0.002798191702692115
15,15,0.6515337707918782,0.7296980357666374,0.6203727480395318,0.7379835873388042,0.003094004291335527
16,16,0.6413100318487912,0.7348284960422163,0.613136041765336,0.7631887456037515,0.0034000813407383482
17,17,0.6477930683154439,0.7333626502491938,0.8233762052945207,0.6518171160609613,0.003714931054953405
18,18,0.6429710239652523,0.7418645558487247,0.7493874245483738,0.7004689331770223,0.004037018880741402
19,19,0.6354162429162604,0.7411316329522134,1.0470835780342747,0.5885111371629543,0.004364774986865134
20,20,0.6312039345284426,0.7453825857519789,0.617150354008043,0.7391559202813599,0.004696601915325932
21,21,0.6226144723093988,0.7468484315450015,0.8378914685489703,0.6875732708089097,0.00503088236725083
22,22,0.6257590213258117,0.7443564936968631,0.6202005009578513,0.7438452520515827,0.005365987085482604
23,23,0.6148383004142546,0.7515391380826737,1.080183983967145,0.5926143024618992,0.005700282795453583
24,24,0.6213674454247277,0.7465552623863969,0.7956258437977307,0.6588511137162955,0.006032140165640009
25,25,0.5955412680890965,0.7615068894752272,0.749990220156532,0.6887456037514654,0.006359941748798283
26,26,0.6102698860508157,0.7540310759308121,0.635495656540078,0.7784290738569754,0.006682089865278181
27,27,0.58845984606371,0.7634124890061565,0.6266179015600108,0.7549824150058617,0.0069970143899903085
28,28,0.5919296407203316,0.7616534740545294,0.6895681532997319,0.7092614302461899,0.007303180405074777
29,29,0.5882531109180523,0.7615068894752272,0.6540671159346246,0.7438452520515827,0.007599095680972537
30,30,0.5836384797316428,0.7576956904133685,0.7706366978664331,0.7110199296600235,0.007883317949437233
31,31,0.580655660754388,0.7656112576956904,0.6100923261077854,0.7778429073856975,0.008154461933039479
32,32,0.5760081552910477,0.76883611844034,1.39642191142857,0.44431418522860494,0.00841120609690226
33,33,0.5761486320717878,0.7600410436822046,0.6336920204084336,0.7561547479484173,0.008652299089760077
34,34,0.5713541901240912,0.7691292875989446,0.6391134184522058,0.7661195779601406,0.008876565842948556
35,35,0.5725269341566667,0.7679566109645265,0.6124117708779164,0.7579132473622509,0.009082913297598548
36,36,0.566699575885095,0.7711814717091762,0.6086176261043772,0.7579132473622509,0.009270335732120811
37,37,0.5568475650923234,0.7725007329228966,1.7699705363717475,0.28722157092614303,0.009437919664015512
38,38,0.5615874430504897,0.768249780123131,0.7548373166869142,0.6418522860492379,0.009584848302115527
39,39,0.5573264891819603,0.7744063324538258,0.5907866247653402,0.7584994138335287,0.009710405527563628
40,40,0.5568310004355655,0.7798299618880093,0.7585399737810893,0.6934349355216881,0.009813979384120604
41,41,0.5516867052771346,0.7804163002052185,0.6592475774000286,0.7491207502930832,0.009895065060792796
42,42,0.5515143194792034,0.781882145998241,0.6429719121347139,0.753810082063306,0.009953267352241977
43,43,0.547413755567568,0.7801231310466139,0.6129640512002451,0.7702227432590856,0.009988302584985701
44,44,0.5417692958959139,0.7852535913221929,0.5851514509945653,0.7930832356389215,0.01
45,45,0.5361973668727942,0.7852535913221929,0.5609560642055162,0.7831184056271981,0.00999776217036887
46,46,0.5340583123478572,0.7832014072119613,0.6240178860226102,0.7526377491207503,0.00999105068463608
47,47,0.5339285379034863,0.7842274992670771,0.5730482402049084,0.7661195779601406,0.009979871550490316
48,48,0.5320125748180847,0.7928759894459103,0.5685936137073065,0.7883939038686987,0.00996423477477066
49,49,0.5217418447158721,0.7947815889768396,0.6055869464298486,0.761430246189918,0.009944154354509118
50,50,0.5201748008254126,0.7959542656112577,0.7658407025711758,0.6951934349355217,0.009919648264401377
51,51,0.52404340389571,0.7851070067428907,0.7181195529376496,0.6846424384525205,0.009890738440717015
52,52,0.5191179451373482,0.79610085019056,0.5510930712798835,0.7895662368112544,0.009857450761663571
53,53,0.5140333019876299,0.7937554969217239,0.5923236860759373,0.7626025791324736,0.009819815024222052
54,54,0.5099108117534003,0.7952213427147464,0.6301338865497048,0.7432590855803048,0.009777864917474588
55,55,0.510341026030898,0.7940486660803283,0.8122641717423308,0.701641266119578,0.009731637992448144
56,56,0.5175363609288243,0.7931691586045148,0.7820315740452283,0.6910902696365768,0.009681175628501274
57,57,0.5112952908194683,0.7977132805628848,0.5996936705718985,0.7737397420867527,0.009626522996283974
